,Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
0,Jan 2011,15,"1,122,600","74,840","50,000",344,34.4
1,Feb 2011,20,"1,652,300","82,615","66,950",371,32.5
2,Mar 2011,25,"3,013,550","120,542","92,000",369,28.2
3,Apr 2011,25,"2,733,350","109,334","115,000",362,24.4
4,May 2011,28,"2,277,661","81,345","67,650",381,23.7
5,Jun 2011,21,"1,798,605","85,648","78,000",415,23.7
6,Jul 2011,15,"1,457,148","97,143","69,500",440,24.7
7,Aug 2011,18,"2,389,823","132,768","73,250",428,22.9
8,Sep 2011,24,"2,752,410","114,684","101,000",437,22.5
9,Oct 2011,21,"1,991,877","94,851","89,900",416,21.0
10,Nov 2011,17,"1,742,772","102,516","100,000",406,19.8
11,Dec 2011,19,"2,569,280","135,225","91,500",383,18.5
12,Jan 2012,10,"916,954","91,695","67,850",359,17.7
13,Feb 2012,17,"2,060,776","121,222","121,900",345,17.2
14,Mar 2012,26,"4,647,523","178,751","109,000",346,17.2
15,Apr 2012,24,"2,878,500","119,938","100,750",343,17.2
16,May 2012,18,"2,252,183","125,121","89,450",364,19.0
17,Jun 2012,31,"3,692,400","119,110","78,000",360,18.0
18,Jul 2012,25,"2,860,225","114,409","101,000",384,18.4
19,Aug 2012,40,"3,797,123","94,928","88,000",375,16.5
20,Sep 2012,43,"5,451,740","126,785","125,000",371,15.3
21,Oct 2012,26,"3,378,513","129,943","121,500",360,14.6
22,Nov 2012,32,"3,684,698","115,147","84,000",349,13.5
23,Dec 2012,22,"2,622,600","119,209","78,450",335,12.8
24,Jan 2013,11,"878,900","79,900","83,500",336,12.8
25,Feb 2013,17,"1,688,580","99,328","65,000",336,12.8
26,Mar 2013,32,"3,088,170","96,505","88,500",340,12.7
27,Apr 2013,33,"3,737,145","113,247","115,000",355,12.9
28,May 2013,29,"3,521,510","121,431","91,450",330,11.6
29,Jun 2013,30,"4,074,899","135,830","106,200",356,12.6
30,Jul 2013,22,"3,943,235","179,238","110,775",368,13.1
31,Aug 2013,27,"2,325,583","86,133","77,900",343,12.7
32,Sep 2013,25,"3,352,805","134,112","97,900",337,13.2
33,Oct 2013,26,"2,552,399","98,169","94,250",346,13.6
34,Nov 2013,21,"2,291,950","109,140","83,000",338,13.7
35,Dec 2013,16,"1,376,700","86,044","84,750",321,13.3
36,Jan 2014,22,"2,386,409","108,473","82,500",7,0.3
37,Feb 2014,32,"3,773,416","117,919","89,750",315,12.0
38,Mar 2014,34,"4,467,469","131,396","96,250",320,12.1
39,Apr 2014,27,"2,614,400","96,830","75,500",326,12.6
40,May 2014,32,"4,843,504","151,360","134,250",339,13.0
41,Jun 2014,29,"3,543,545","122,191","88,500",331,12.7
42,Jul 2014,29,"3,125,923","107,790","89,500",328,12.3
43,Aug 2014,24,"2,233,900","93,079","82,000",317,12.0
44,Sep 2014,32,"3,917,840","122,432","108,750",298,11.0
45,Oct 2014,29,"3,966,800","136,786","98,000",285,10.5
46,Nov 2014,15,"1,729,900","115,327","99,000",274,10.2
47,Dec 2014,28,"4,737,530","169,198","144,000",258,9.3
48,Jan 2015,17,"2,239,625","131,743","90,000",196,7.2
49,Feb 2015,21,"3,131,868","149,137","91,000",193,7.3
50,Mar 2015,19,"2,760,350","145,282","99,500",202,8.0
51,Apr 2015,33,"4,194,910","127,118","90,000",197,7.7
52,May 2015,24,"2,736,850","114,035","115,100",212,8.5
53,Jun 2015,37,"5,295,600","143,124","154,000",242,9.4
54,Jul 2015,38,"4,550,055","119,738","115,750",247,9.4
55,Aug 2015,39,"5,089,058","130,489","119,000",245,8.9
56,Sep 2015,32,"4,996,800","156,150","107,250",253,9.1
57,Oct 2015,25,"2,964,750","118,590","102,000",245,9.0
58,Nov 2015,23,"2,587,375","112,495","110,000",224,8.0
59,Dec 2015,31,"4,066,907","131,191","114,000",206,7.3
60,Jan 2016,20,"2,552,895","127,645","112,500",189,6.6
61,Feb 2016,15,"1,712,800","114,187","105,000",202,7.2
62,Mar 2016,34,"4,421,890","130,056","106,250",194,6.6
63,Apr 2016,31,"4,605,678","148,570","132,000",202,6.9
64,May 2016,37,"4,349,400","117,551","98,000",191,6.3
65,Jun 2016,50,"6,186,333","123,727","102,600",191,6.1
66,Jul 2016,30,"3,629,783","120,993","125,000",187,6.1
67,Aug 2016,44,"7,246,143","164,685","154,750",196,6.3
68,Sep 2016,44,"5,633,524","128,035","112,000",167,5.2
69,Oct 2016,35,"3,811,800","108,909","96,000",153,4.7
70,Nov 2016,33,"4,832,304","146,433","155,000",158,4.7
71,Dec 2016,28,"3,174,229","113,365","112,500",168,5.0
72,Jan 2017,15,"1,908,137","127,209","100,000",176,5.3
