,Date,Sales,Dollar Volume,Average Price,Median Price,Total Listings,Months Inventory
0,Jan 1990,"7,741","655,670,441","84,701","62,914","93,041",12.0
1,Feb 1990,"6,200","530,013,200","85,486","68,783","102,099",14.6
2,Mar 1990,"8,545","727,418,760","85,128","68,783","104,780",14.0
3,Apr 1990,"8,245","708,229,010","85,898","68,490","106,347",13.8
4,May 1990,"9,309","811,502,766","87,174","68,294","106,866",13.3
5,Jun 1990,"9,793","871,341,968","88,976","72,500","109,794",13.2
6,Jul 1990,"10,117","898,875,216","88,848","71,424","107,657",12.6
7,Aug 1990,"11,161","1,000,170,693","89,613","71,131","104,195",11.7
8,Sep 1990,"8,270","707,093,270","85,501","69,859","106,666",12.1
9,Oct 1990,"8,557","691,876,235","80,855","66,925","104,673",11.9
10,Nov 1990,"8,112","656,049,888","80,874","62,425","96,440",11.0
11,Dec 1990,"7,294","610,245,216","83,664","67,316","91,204",10.6
12,Jan 1991,"5,917","493,744,065","83,445","66,827","96,285",11.4
13,Feb 1991,"6,242","491,601,194","78,757","69,175","98,172",11.6
14,Mar 1991,"7,862","671,076,734","85,357","69,468","99,905",11.9
15,Apr 1991,"8,554","747,439,966","87,379","68,685","100,899",12.0
16,May 1991,"10,533","958,734,726","91,022","73,185","101,772",11.9
17,Jun 1991,"10,494","953,128,044","90,826","74,261","102,425",11.9
18,Jul 1991,"10,216","942,558,808","92,263","75,142","101,933",11.9
19,Aug 1991,"10,556","947,992,136","89,806","71,229","96,247",11.3
20,Sep 1991,"8,645","759,463,250","87,850","74,946","94,510",11.0
21,Oct 1991,"8,267","718,261,761","86,883","70,251","93,878",11.0
22,Nov 1991,"8,069","662,666,625","82,125","69,761","88,745",10.4
23,Dec 1991,"7,434","677,326,608","91,112","73,087","83,843",9.8
24,Jan 1992,"5,989","509,981,317","85,153","70,935","88,699",10.3
25,Feb 1992,"6,444","595,116,288","92,352","73,870","90,536",10.5
26,Mar 1992,"9,538","878,840,858","92,141","75,142","89,819",10.3
27,Apr 1992,"9,473","880,032,227","92,899","75,337","96,665",11.0
28,May 1992,"9,974","929,985,734","93,241","76,022","97,247",11.1
29,Jun 1992,"11,052","1,035,716,076","93,713","74,555","97,290",11.0
30,Jul 1992,"10,802","992,811,820","91,910","76,609","97,424",11.0
31,Aug 1992,"10,640","1,010,800,000","95,000","77,000","94,680",10.7
32,Sep 1992,"9,765","888,107,220","90,948","76,315","93,259",10.4
33,Oct 1992,"9,004","823,956,040","91,510","75,924","90,797",10.1
34,Nov 1992,"8,632","776,862,736","89,998","76,315","88,024",9.7
35,Dec 1992,"9,517","873,232,335","91,755","75,924","81,398",8.8
36,Jan 1993,"6,557","600,844,138","91,634","73,772","85,543",9.2
37,Feb 1993,"7,341","661,923,288","90,168","73,185","87,927",9.4
38,Mar 1993,"8,943","840,168,021","93,947","77,000","90,028",9.7
39,Apr 1993,"9,428","909,764,288","96,496","77,489","92,618",10.0
40,May 1993,"10,530","1,043,691,480","99,116","79,348","92,711",9.9
41,Jun 1993,"12,590","1,291,948,030","102,617","80,424","92,234",9.7
42,Jul 1993,"11,971","1,222,035,593","102,083","80,424","91,002",9.5
43,Aug 1993,"12,327","1,217,143,326","98,738","79,641","89,737",9.2
44,Sep 1993,"10,779","1,036,842,789","96,191","77,391","87,189",8.9
45,Oct 1993,"10,023","985,140,624","98,288","78,565","86,651",8.8
46,Nov 1993,"9,562","951,744,108","99,534","80,130","84,651",8.5
47,Dec 1993,"10,698","1,055,625,150","98,675","79,054","78,896",7.8
48,Jan 1994,"7,233","701,608,233","97,001","76,413","81,245",8.0
49,Feb 1994,"7,711","757,983,589","98,299","79,054","77,655",7.7
50,Mar 1994,"11,646","1,173,369,438","100,753","80,130","80,003",7.7
51,Apr 1994,"11,374","1,143,837,684","100,566","80,228","81,659",7.7
52,May 1994,"12,248","1,231,609,888","100,556","80,815","84,028",7.9
53,Jun 1994,"13,064","1,347,225,000","103,125","82,576","83,610",7.8
54,Jul 1994,"11,951","1,236,091,930","103,430","82,478","84,816",7.9
55,Aug 1994,"12,838","1,347,681,888","104,976","81,402","84,761",7.9
56,Sep 1994,"10,621","1,049,333,558","98,798","79,935","82,629",7.7
57,Oct 1994,"9,514","935,530,648","98,332","79,152","80,988",7.6
58,Nov 1994,"8,916","883,379,448","99,078","78,565","77,842",7.3
59,Dec 1994,"9,409","965,476,308","102,612","79,641","77,311",7.3
60,Jan 1995,"6,593","662,642,651","100,507","76,120","80,883",7.7
61,Feb 1995,"7,237","718,757,129","99,317","78,761","83,910",8.0
62,Mar 1995,"9,841","984,956,167","100,087","78,663","87,416",8.5
63,Apr 1995,"8,768","862,183,744","98,333","78,174","86,048",8.5
